2025-12-25 22:04:25 INFO  Utils:112 - [TestNG] Running:
  C:\Users\Murali\eclipse-workspace\Opencartprj\master.xml

2025-12-25 22:04:30 INFO  TC_001_UserAccountRegistration:17 - **Starting TC_001_UserAccountRegistration**
2025-12-25 22:04:30 INFO  TC_001_UserAccountRegistration:22 - **Clicked My account Link**
2025-12-25 22:04:30 INFO  TC_001_UserAccountRegistration:25 - **Clicked Register Link**
2025-12-25 22:04:30 INFO  TC_001_UserAccountRegistration:29 - **Entering Customer details**
2025-12-25 22:04:30 INFO  TC_001_UserAccountRegistration:43 - ** validating expected message**
2025-12-25 22:04:31 INFO  TC_001_UserAccountRegistration:69 - **TC_001 UserAccountRegistration Finished**
2025-12-25 22:04:33 INFO  TC_002_LoginTest:18 - ******TC_002_LoginTest Started******
2025-12-25 22:04:34 INFO  TC_002_LoginTest:42 - ******TC_002_Login Test finished
